mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.41102352142333987,0.00760045051574707,0.7483516483516484,0.9530219780219781,1,{'Boost__n_estimators': 1},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.01052671320182816,0.0008000254644364732,0.02810266341218556,0.0020650132387875215
0.43222475051879883,0.007800483703613281,0.7483516483516484,0.9530219780219781,2,{'Boost__n_estimators': 2},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.003544153114498134,0.000979890354597332,0.02810266341218556,0.0020650132387875215
0.4662266731262207,0.006600332260131836,0.7483516483516484,0.9530219780219781,5,{'Boost__n_estimators': 5},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02079928946259633,0.0004899403160383116,0.02810266341218556,0.0020650132387875215
0.4672267436981201,0.006800460815429688,0.7483516483516484,0.9530219780219781,10,{'Boost__n_estimators': 10},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.020015205300910995,0.0003999710083007813,0.02810266341218556,0.0020650132387875215
0.4666266918182373,0.007200384140014648,0.7483516483516484,0.9530219780219781,20,{'Boost__n_estimators': 20},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.020255557092142037,0.0009798806204745123,0.02810266341218556,0.0020650132387875215
0.4708268642425537,0.007200479507446289,0.7483516483516484,0.9530219780219781,30,{'Boost__n_estimators': 30},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.020990702862295898,0.0004000663757324219,0.02810266341218556,0.0020650132387875215
0.4704268455505371,0.007400369644165039,0.7483516483516484,0.9530219780219781,40,{'Boost__n_estimators': 40},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.024720687447247962,0.0010198889675969553,0.02810266341218556,0.0020650132387875215
0.4670267105102539,0.0070003032684326175,0.7483516483516484,0.9530219780219781,50,{'Boost__n_estimators': 50},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02121443075225378,0.0006324850929980568,0.02810266341218556,0.0020650132387875215
0.4648265361785889,0.00760035514831543,0.7483516483516484,0.9530219780219781,60,{'Boost__n_estimators': 60},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.019682601610115286,0.0004899208473093903,0.02810266341218556,0.0020650132387875215
0.46622662544250487,0.006600332260131836,0.7483516483516484,0.9530219780219781,70,{'Boost__n_estimators': 70},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02285213920029726,0.0004899403160383116,0.02810266341218556,0.0020650132387875215
0.4682267665863037,0.007200479507446289,0.7483516483516484,0.9530219780219781,80,{'Boost__n_estimators': 80},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02253474438933054,0.0004000663757324219,0.02810266341218556,0.0020650132387875215
0.4692268371582031,0.007200384140014648,0.7483516483516484,0.9530219780219781,90,{'Boost__n_estimators': 90},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.022508292122134496,0.0003999948608169695,0.02810266341218556,0.0020650132387875215
0.47162694931030275,0.006800365447998047,0.7483516483516484,0.9530219780219781,100,{'Boost__n_estimators': 100},1,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.01624406762156292,0.0007483791930950463,0.02810266341218556,0.0020650132387875215
